localidad,riesgo_real,riesgo_predicho,tasa_total,prob_bajo,prob_medio,prob_alto
ANTONIO NARIÑO,Medio,Medio,3916.83,0.084,0.886,0.03
TUNJUELITO,Bajo,Bajo,2050.75,0.962,0.036,0.002
RAFAEL URIBE URIBE,Bajo,Bajo,1720.36,1.0,0.0,0.0
CANDELARIA,Alto,Alto,10233.58,0.006,0.146,0.848
BARRIOS UNIDOS,Medio,Medio,3907.67,0.074,0.92,0.006
TEUSAQUILLO,Medio,Medio,4782.37,0.06,0.918,0.022
PUENTE ARANDA,Medio,Medio,3126.03,0.144,0.852,0.004
LOS MARTIRES,Alto,Alto,9246.69,0.006,0.108,0.886
USAQUEN,Bajo,Bajo,1829.44,0.94,0.06,0.0
CHAPINERO,Medio,Medio,6113.17,0.038,0.854,0.108
SANTA FE,Alto,Alto,7528.35,0.024,0.21,0.766
SAN CRISTOBAL,Bajo,Bajo,1612.92,0.986,0.014,0.0
USME,Bajo,Bajo,1388.66,0.988,0.012,0.0
CIUDAD BOLIVAR,Bajo,Bajo,1639.62,0.974,0.008,0.018
BOSA,Bajo,Bajo,1524.59,1.0,0.0,0.0
KENNEDY,Bajo,Bajo,1868.32,0.97,0.03,0.0
FONTIBON,Bajo,Bajo,2331.64,0.924,0.074,0.002
ENGATIVA,Bajo,Bajo,2022.18,0.99,0.01,0.0
SUBA,Bajo,Bajo,1412.28,1.0,0.0,0.0
